cidade,uf,mes,ano,mes_ano,n_usuarios_internet,velocidade_media_mbps,n_dispositivos_conectados,indice_inovacao,investimento_publico_tecnologia,eventos_tecnologicos_realizados,startups_ativas,patentes_registradas
Recife,PE,12,2012,2012m12,49459,68.17,31110,0.248,516003.48,3,63,3
Curitiba,PR,1,2013,2013m01,50072,25.99,87639,0.035,407306.69,4,61,7
Recife,PE,2,2013,2013m02,50164,47.76,22767,0.764,203250.34,3,254,10
Manaus,AM,3,2013,2013m03,49723,51.86,48433,0.226,421177.48,3,293,3
São Paulo,SP,4,2013,2013m04,50009,41.41,51873,0.143,839078.21,2,241,1
Curitiba,PR,5,2013,2013m05,50098,50.42,80993,0.999,530063.03,4,178,2
São Paulo,SP,6,2013,2013m06,50010,20.53,88850,0.403,847133.97,4,281,6
Manaus,AM,7,2013,2013m07,50013,30.55,89345,0.743,464099.8,3,275,2
Rio de Janeiro,RJ,8,2013,2013m08,50006,69.05,87050,0.318,246774.5,1,24,4
Porto Alegre,RS,9,2013,2013m09,49981,53.65,39583,0.025,781876.97,8,260,4
Curitiba,PR,10,2013,2013m10,50062,44.32,74136,0.23,827106.91,2,22,9
Fortaleza,CE,11,2013,2013m11,49980,64.7,36080,0.073,720253.71,4,113,6
Curitiba,PR,12,2013,2013m12,49980,70.81,40543,0.124,463717.15,3,42,5
Manaus,AM,1,2014,2014m01,50119,77.15,24555,0.798,768272.77,1,189,6
Rio de Janeiro,RJ,2,2014,2014m02,50606,21.7,27446,0.926,646556.41,6,236,6
São Paulo,SP,3,2014,2014m03,50020,70.74,12514,0.964,823193.01,4,200,9
Belo Horizonte,MG,4,2014,2014m04,50392,32.59,69645,0.398,611828.77,6,35,4
Salvador,BA,5,2014,2014m05,49731,54.52,60020,0.285,892896.61,2,41,4
Brasília,DF,6,2014,2014m06,50100,59.17,94851,0.794,401093.41,2,98,8
Porto Alegre,RS,7,2014,2014m07,50280,74.13,86448,0.467,755069.37,4,157,6
Curitiba,PR,8,2014,2014m08,50517,57.04,11512,0.822,453351.29,6,101,9
Belo Horizonte,MG,9,2014,2014m09,50104,54.18,87198,0.844,588173.18,5,91,4
Fortaleza,CE,10,2014,2014m10,49593,37.43,79912,0.963,498262.92,3,250,8
Curitiba,PR,11,2014,2014m11,49665,24.69,76590,0.336,907996.96,2,225,7
São Paulo,SP,12,2014,2014m12,50030,37.04,24139,0.277,919332.39,3,25,3
Curitiba,PR,1,2015,2015m01,50276,71.1,67393,0.542,494499.69,2,281,8
Manaus,AM,2,2015,2015m02,50129,50.49,93198,0.486,504475.86,5,131,5
Brasília,DF,3,2015,2015m03,49882,74.92,11935,0.95,589158.7,3,282,5
Salvador,BA,4,2015,2015m04,49898,39.24,23509,0.331,236495.39,5,163,3
Belo Horizonte,MG,5,2015,2015m05,50055,61.78,41783,0.726,895922.05,6,164,5
Porto Alegre,RS,6,2015,2015m06,50229,52.52,49418,0.36,755651.34,3,232,1
Salvador,BA,7,2015,2015m07,50131,69.43,70492,0.016,494326.09,5,235,5
São Paulo,SP,8,2015,2015m08,50155,,93328,0.071,154314.64,3,56,4
Recife,PE,9,2015,2015m09,50170,48.09,81359,0.146,464834.91,3,296,3
Fortaleza,CE,10,2015,2015m10,49737,,49458,0.407,124301.22,2,240,4
Porto Alegre,RS,11,2015,2015m11,49975,18.66,40708,0.685,209234.18,1,144,5
São Paulo,SP,12,2015,2015m12,50146,47.85,86384,0.376,886181.33,0,26,8
Curitiba,PR,1,2016,2016m01,49989,25.08,40325,0.813,400865.46,1,262,4
Salvador,BA,2,2016,2016m02,50144,49.56,69437,0.941,957651.68,3,230,5
Salvador,BA,3,2016,2016m03,50183,43.69,60449,0.926,270509.53,1,262,8
Curitiba,PR,4,2016,2016m04,49993,59.03,32713,0.025,590536.27,2,281,5
Curitiba,PR,5,2016,2016m05,50167,56.99,44917,0.018,716281.62,0,98,2
Recife,PE,6,2016,2016m06,49676,45.72,28894,0.762,816812.88,3,189,4
São Paulo,SP,7,2016,2016m07,50187,35.57,63439,0.625,189568.84,1,25,6
Curitiba,PR,8,2016,2016m08,50125,51.17,35965,0.307,657080.54,3,213,5
Curitiba,PR,9,2016,2016m09,50422,69.58,67735,0.915,442812.84,2,202,4
Manaus,AM,10,2016,2016m10,50077,35.3,57390,0.048,176626.06,2,16,3
Fortaleza,CE,11,2016,2016m11,50039,27.45,69917,0.255,380481.43,0,14,6
Recife,PE,12,2016,2016m12,50070,22.35,97956,0.267,743701.94,3,246,6
Salvador,BA,1,2017,2017m01,50052,26.98,47539,0.104,416657.08,3,142,7
Belo Horizonte,MG,2,2017,2017m02,50368,,33150,0.564,344806.03,3,45,8
Brasília,DF,3,2017,2017m03,49601,28.92,65449,0.154,692257.53,2,28,9
São Paulo,SP,4,2017,2017m04,49822,44.38,73651,0.66,903919.41,3,59,5
Rio de Janeiro,RJ,5,2017,2017m05,49971,56.92,10206,0.684,293736.64,2,282,4
Brasília,DF,6,2017,2017m06,50377,18.07,81587,0.648,785805.27,2,133,5
Rio de Janeiro,RJ,7,2017,2017m07,49824,64.8,19531,0.745,965029.54,1,168,5
Curitiba,PR,8,2017,2017m08,50092,71.41,29964,0.994,118805.61,2,39,1
São Paulo,SP,9,2017,2017m09,49788,77.97,30761,0.806,388183.06,7,222,3
Belo Horizonte,MG,10,2017,2017m10,50526,72.11,56847,0.459,994737.98,3,22,3
Curitiba,PR,11,2017,2017m11,49780,86.19,18686,0.29,928366.69,2,190,10
Belo Horizonte,MG,12,2017,2017m12,50057,53.45,78447,0.218,549055.91,4,226,4
Rio de Janeiro,RJ,1,2018,2018m01,49862,62.09,42640,0.843,731587.03,1,131,2
Belo Horizonte,MG,2,2018,2018m02,50372,46.23,15056,0.783,470478.04,1,182,7
Manaus,AM,3,2018,2018m03,49958,59.94,23164,0.111,414024.74,5,154,5
Recife,PE,4,2018,2018m04,50106,52.06,12431,0.943,900923.02,2,172,5
Curitiba,PR,5,2018,2018m05,49946,25.06,60109,0.531,481396.94,3,101,7
Curitiba,PR,6,2018,2018m06,49818,27.44,97310,0.118,781043.18,3,139,8
Recife,PE,7,2018,2018m07,50122,77.13,55043,0.967,803783.49,3,135,7
Rio de Janeiro,RJ,8,2018,2018m08,50193,52.33,26546,0.417,979041.76,0,116,9
Fortaleza,CE,9,2018,2018m09,50181,71.3,75541,0.475,553464.93,5,46,8
Brasília,DF,10,2018,2018m10,49986,41.5,14742,0.692,252934.52,7,82,10
Porto Alegre,RS,11,2018,2018m11,50083,36.61,97707,0.345,650483.41,1,266,9
Belo Horizonte,MG,12,2018,2018m12,50093,48.71,21185,0.042,139508.8,2,272,7
Curitiba,PR,1,2019,2019m01,50042,61.78,60641,0.666,528669.48,1,102,6
Curitiba,PR,2,2019,2019m02,50046,70.88,18676,0.359,874680.13,5,115,4
Fortaleza,CE,3,2019,2019m03,49919,52.79,57396,0.631,805009.47,2,65,3
Belo Horizonte,MG,4,2019,2019m04,50209,59.8,35509,0.768,159542.02,3,46,6
Manaus,AM,5,2019,2019m05,50583,47.85,71672,0.033,571834.4,5,165,3
Curitiba,PR,6,2019,2019m06,50165,71.84,66667,0.647,133545.01,6,184,4
Porto Alegre,RS,7,2019,2019m07,49991,72.07,67786,0.827,807532.99,0,11,3
Porto Alegre,RS,8,2019,2019m08,49865,38.22,17416,0.013,940640.78,4,260,6
Manaus,AM,9,2019,2019m09,50013,55.75,37532,0.323,339698.73,4,75,4
Brasília,DF,10,2019,2019m10,49523,35.07,50910,0.69,748988.6,3,170,5
Curitiba,PR,11,2019,2019m11,50467,62.24,79842,0.841,489274.22,1,108,2
Porto Alegre,RS,12,2019,2019m12,50014,44.08,31226,0.695,376052.02,1,170,3
Brasília,DF,1,2020,2020m01,49926,38.04,68615,0.83,462810.01,4,28,6
Rio de Janeiro,RJ,2,2020,2020m02,50151,19.4,12209,0.851,136391.48,3,33,5
Salvador,BA,3,2020,2020m03,50142,66.25,26862,0.793,244020.11,4,103,6
Fortaleza,CE,4,2020,2020m04,50152,52.89,23420,0.319,300018.83,1,189,4
Fortaleza,CE,5,2020,2020m05,49751,53.77,97479,0.241,364294.13,1,85,3
Belo Horizonte,MG,6,2020,2020m06,50322,62.48,50994,0.48,340381.26,2,100,8
Brasília,DF,7,2020,2020m07,50213,38.57,80160,0.574,437439.76,4,250,3
Brasília,DF,8,2020,2020m08,49980,36.23,13488,0.03,825746.12,3,16,5
Fortaleza,CE,9,2020,2020m09,50054,58.24,28486,0.908,475867.01,2,141,6
Recife,PE,10,2020,2020m10,49856,67.37,47601,0.373,364271.03,2,203,10
Manaus,AM,11,2020,2020m11,49954,57.98,21921,0.162,816060.75,6,77,5
Fortaleza,CE,12,2020,2020m12,49975,74.04,90609,0.21,927096.12,5,212,4
Belo Horizonte,MG,1,2021,2021m01,49808,58.47,82536,0.31,405064.04,1,230,2
Brasília,DF,2,2021,2021m02,50145,57.65,61589,0.361,842638.17,3,31,4
São Paulo,SP,3,2021,2021m03,50202,62.33,84217,0.914,969100.96,2,119,6
Fortaleza,CE,4,2021,2021m04,50387,46.52,78977,0.354,404411.35,2,61,5
Fortaleza,CE,5,2021,2021m05,49871,31.36,76749,0.233,193818.17,1,131,4
Rio de Janeiro,RJ,6,2021,2021m06,49787,50.29,63187,0.387,480508.25,5,199,3
Porto Alegre,RS,7,2021,2021m07,50291,60.71,60685,0.178,229016.9,2,274,3
Manaus,AM,8,2021,2021m08,49946,37.11,81285,0.486,287363.78,2,207,7
Recife,PE,9,2021,2021m09,50262,28.91,93390,0.929,682608.26,4,139,2
Belo Horizonte,MG,10,2021,2021m10,50324,39.11,45733,0.748,548326.61,3,280,7
Recife,PE,11,2021,2021m11,50017,70.03,12963,0.889,743077.6,3,173,5
Belo Horizonte,MG,12,2021,2021m12,49825,57.43,38888,0.978,473682.68,2,102,4
Porto Alegre,RS,1,2022,2022m01,49967,48.11,75161,0.384,999918.94,5,156,6
Fortaleza,CE,2,2022,2022m02,49995,35.48,91103,0.181,629269.61,5,89,4
Brasília,DF,3,2022,2022m03,49947,54.13,13298,0.653,388945.54,4,130,8
Porto Alegre,RS,4,2022,2022m04,49952,52.78,98128,0.669,293805.88,0,103,4
Brasília,DF,5,2022,2022m05,50279,56.84,86636,0.645,371229.96,1,199,5
Porto Alegre,RS,6,2022,2022m06,50058,87.56,80097,0.767,317132.52,4,188,9
Fortaleza,CE,7,2022,2022m07,50146,57.41,45739,0.202,545846.83,5,18,5
Recife,PE,8,2022,2022m08,49709,39.59,65695,0.013,855152.5,6,68,8
Manaus,AM,9,2022,2022m09,49621,29.22,59595,0.501,468380.6,2,159,3
Brasília,DF,10,2022,2022m10,49558,41.61,26824,0.147,388390.15,4,278,8
Rio de Janeiro,RJ,11,2022,2022m11,50099,43.15,68442,0.028,541766.94,5,176,2
Salvador,BA,12,2022,2022m12,49918,62.43,60993,0.459,436773.18,3,68,5
Belo Horizonte,MG,1,2023,2023m01,49964,40.73,65444,0.679,139571.77,2,225,6
Brasília,DF,2,2023,2023m02,50406,35.12,77631,0.538,406171.16,3,186,6
Curitiba,PR,3,2023,2023m03,50335,58.07,94205,0.032,396265.15,2,86,7
Belo Horizonte,MG,4,2023,2023m04,50249,40.72,17103,0.194,735823.01,5,164,3
Curitiba,PR,5,2023,2023m05,50184,58.65,37871,0.429,257034.08,3,81,6
São Paulo,SP,6,2023,2023m06,50000,37.31,63325,0.816,162185.33,1,129,8
São Paulo,SP,7,2023,2023m07,50252,42.92,71989,0.296,143267.57,2,162,6
Recife,PE,8,2023,2023m08,49947,41.27,58854,0.855,200536.52,4,255,4
Salvador,BA,9,2023,2023m09,49903,56.17,94132,0.837,120299.04,5,171,3
Brasília,DF,10,2023,2023m10,49797,47.84,10061,0.625,793745.02,5,195,7
Fortaleza,CE,11,2023,2023m11,50090,31.67,45525,0.846,959020.88,2,223,8
Fortaleza,CE,12,2023,2023m12,50005,30.42,72510,0.656,229902.15,0,215,9
Fortaleza,CE,1,2024,2024m01,49747,45.26,14735,0.189,188383.21,8,165,2
Salvador,BA,2,2024,2024m02,49861,28.77,83797,0.012,653477.4,4,145,3
Fortaleza,CE,3,2024,2024m03,50190,43.79,70198,0.596,406090.1,3,57,3
Brasília,DF,4,2024,2024m04,50083,53.85,94848,0.206,644341.11,0,248,5
Porto Alegre,RS,5,2024,2024m05,50588,32.26,97376,0.61,750887.7,1,140,2
Manaus,AM,6,2024,2024m06,50149,62.73,30000,0.218,954956.56,2,199,7
Rio de Janeiro,RJ,7,2024,2024m07,49992,,42562,0.127,902893.63,0,196,8
Fortaleza,CE,8,2024,2024m08,49933,66.25,69425,0.421,196711.52,4,42,7
São Paulo,SP,9,2024,2024m09,49993,60.03,38718,0.749,142378.15,5,93,2
Rio de Janeiro,RJ,10,2024,2024m10,49812,56.33,19195,0.236,156000.25,5,107,5
Fortaleza,CE,11,2024,2024m11,49742,53.6,46900,0.839,700197.05,4,60,6
Manaus,AM,12,2024,2024m12,49873,55.55,41460,0.893,503020.65,0,172,9
Belo Horizonte,MG,1,2000,2000m01,49810,40.93,92050,0.256,319985.2,3,154,5
Curitiba,PR,2,2000,2000m02,50194,49.62,54483,0.259,460179.07,6,155,3
Fortaleza,CE,3,2000,2000m03,49897,52.23,37284,0.357,814762.58,4,89,3
Porto Alegre,RS,4,2000,2000m04,50283,59.62,10466,0.712,595272.7,4,195,8
Salvador,BA,5,2000,2000m05,50418,26.15,65253,0.123,780314.69,2,268,5
Recife,PE,6,2000,2000m06,49896,53.17,91991,0.794,906692.91,3,58,7
Brasília,DF,7,2000,2000m07,50299,65.93,70533,0.517,688447.14,1,80,7
Salvador,BA,8,2000,2000m08,49941,40.96,24646,0.598,264606.41,3,293,1
São Paulo,SP,9,2000,2000m09,50392,48.36,17405,0.814,277101.03,4,208,2
Fortaleza,CE,10,2000,2000m10,49828,22.05,22098,0.101,334349.63,4,149,0
Fortaleza,CE,11,2000,2000m11,49814,51.0,32079,0.866,175985.39,4,145,5
Curitiba,PR,12,2000,2000m12,49814,27.67,16865,0.943,886192.44,0,122,13
Curitiba,PR,1,2001,2001m01,49689,41.7,10257,0.686,490137.05,6,139,4
Brasília,DF,2,2001,2001m02,50080,49.27,58416,0.769,344327.36,1,218,5
São Paulo,SP,3,2001,2001m03,49567,40.9,24912,0.128,101441.19,3,191,7
Salvador,BA,4,2001,2001m04,49705,47.54,33744,0.518,997033.38,3,296,6
São Paulo,SP,5,2001,2001m05,50102,55.6,60491,0.249,845603.4,4,102,7
Belo Horizonte,MG,6,2001,2001m06,49930,49.42,64288,0.793,992053.4,2,97,5
Porto Alegre,RS,7,2001,2001m07,50049,52.12,28252,0.794,264605.22,3,58,2
Manaus,AM,8,2001,2001m08,49988,21.95,23625,0.381,119541.52,2,117,8
Brasília,DF,9,2001,2001m09,49721,47.64,45742,0.713,438910.07,2,156,4
Belo Horizonte,MG,10,2001,2001m10,50304,16.7,23317,0.521,338830.95,2,228,4
Porto Alegre,RS,11,2001,2001m11,49539,44.06,15682,0.513,991200.98,5,135,5
Curitiba,PR,12,2001,2001m12,50151,77.62,23233,0.668,135589.81,3,24,3
Manaus,AM,1,2002,2002m01,49833,64.05,18898,0.586,195964.93,3,18,9
Manaus,AM,2,2002,2002m02,49519,28.59,39788,0.166,163778.52,2,140,2
Belo Horizonte,MG,3,2002,2002m03,49903,41.85,31303,0.622,857031.16,1,194,3
São Paulo,SP,4,2002,2002m04,50280,47.36,72602,0.429,481400.6,4,251,3
Rio de Janeiro,RJ,5,2002,2002m05,50016,57.6,71657,0.451,548765.38,5,20,5
Rio de Janeiro,RJ,6,2002,2002m06,49947,62.76,55923,0.798,337977.44,4,192,2
Fortaleza,CE,7,2002,2002m07,49772,74.44,19222,0.752,224678.2,0,78,3
Fortaleza,CE,8,2002,2002m08,49734,35.68,98497,0.718,724344.84,4,152,2
Manaus,AM,9,2002,2002m09,50321,53.27,23310,0.837,932680.27,4,142,4
Rio de Janeiro,RJ,10,2002,2002m10,50206,23.55,71318,0.199,846776.34,6,38,7
Recife,PE,11,2002,2002m11,50229,56.15,79761,0.499,763719.04,3,119,6
Curitiba,PR,12,2002,2002m12,50392,57.39,17888,0.961,442316.36,1,192,2
Fortaleza,CE,1,2003,2003m01,50199,50.3,54323,0.101,935629.61,2,153,1
Belo Horizonte,MG,2,2003,2003m02,50052,59.8,63224,0.937,933643.24,2,61,5
Fortaleza,CE,3,2003,2003m03,50278,37.08,91733,0.145,687168.34,4,67,6
Porto Alegre,RS,4,2003,2003m04,50451,30.21,94090,0.041,460181.61,2,289,4
Porto Alegre,RS,5,2003,2003m05,50073,35.74,60176,0.193,745588.31,4,200,7
Recife,PE,6,2003,2003m06,49675,55.55,94432,0.451,603510.11,2,130,3
Recife,PE,7,2003,2003m07,50198,69.66,99819,0.271,412350.07,4,240,7
Fortaleza,CE,8,2003,2003m08,49675,37.12,35173,0.453,595929.7,1,17,3
Manaus,AM,9,2003,2003m09,50263,39.75,75567,0.472,280195.4,4,175,4
Porto Alegre,RS,10,2003,2003m10,49749,51.73,14147,0.992,701328.74,3,182,5
Fortaleza,CE,11,2003,2003m11,50133,101.69,80246,0.553,918215.88,4,72,5
Rio de Janeiro,RJ,12,2003,2003m12,50097,43.29,66150,0.769,577303.38,2,287,3
Rio de Janeiro,RJ,1,2004,2004m01,49958,64.46,50295,0.093,389630.8,4,208,5
Manaus,AM,2,2004,2004m02,50455,47.32,89452,0.602,966625.99,2,266,4
Salvador,BA,3,2004,2004m03,50074,41.9,79041,0.277,673575.77,3,191,8
Belo Horizonte,MG,4,2004,2004m04,50421,30.06,16390,0.264,568468.33,4,176,4
Porto Alegre,RS,5,2004,2004m05,50118,45.44,71837,0.995,465119.83,3,150,3
Curitiba,PR,6,2004,2004m06,50038,62.74,85973,0.313,593011.75,1,157,5
Fortaleza,CE,7,2004,2004m07,50317,36.95,53110,0.871,546314.7,6,37,6
Porto Alegre,RS,8,2004,2004m08,50235,51.45,17027,0.461,834083.48,5,67,1
São Paulo,SP,9,2004,2004m09,50235,37.19,58758,0.381,907208.84,1,292,8
Belo Horizonte,MG,10,2004,2004m10,50270,43.74,94210,0.141,806956.55,3,256,5
Brasília,DF,11,2004,2004m11,49687,27.28,21341,0.663,394242.77,3,173,7
São Paulo,SP,12,2004,2004m12,49999,84.77,30636,0.534,649056.13,10,92,6
Rio de Janeiro,RJ,1,2005,2005m01,49688,54.6,64760,0.619,933820.45,3,90,5
Rio de Janeiro,RJ,2,2005,2005m02,50170,45.1,81728,0.833,941794.86,2,192,5
Fortaleza,CE,3,2005,2005m03,49791,69.36,12828,0.796,918231.99,1,255,4
Recife,PE,4,2005,2005m04,49854,48.64,72883,0.101,378817.54,0,295,6
Fortaleza,CE,5,2005,2005m05,49993,56.89,14647,0.047,683055.13,2,161,6
Porto Alegre,RS,6,2005,2005m06,49924,73.44,69506,0.526,599627.01,2,237,2
Fortaleza,CE,7,2005,2005m07,50254,72.11,51537,0.125,522943.4,4,41,6
Belo Horizonte,MG,8,2005,2005m08,49957,32.85,35783,0.973,992562.11,2,241,7
Belo Horizonte,MG,9,2005,2005m09,49700,50.19,84707,0.666,412172.51,2,86,4
Salvador,BA,10,2005,2005m10,50148,69.16,98312,0.876,306993.25,5,159,4
Belo Horizonte,MG,11,2005,2005m11,50099,33.78,10150,0.027,603301.6,3,236,2
Belo Horizonte,MG,12,2005,2005m12,49981,46.13,18470,0.458,176313.48,5,197,2
Curitiba,PR,1,2006,2006m01,49784,45.59,52169,0.461,760971.54,0,195,5
Brasília,DF,2,2006,2006m02,50048,57.52,67839,0.244,102033.69,5,30,4
Belo Horizonte,MG,3,2006,2006m03,50074,62.04,12220,0.086,258358.87,5,91,5
Recife,PE,4,2006,2006m04,50238,67.25,50890,0.279,985305.92,3,161,3
Rio de Janeiro,RJ,5,2006,2006m05,49945,51.24,60139,0.682,226936.35,3,33,5
Brasília,DF,6,2006,2006m06,50337,34.39,24688,0.034,132554.78,2,112,7
Manaus,AM,7,2006,2006m07,50371,44.68,61084,0.499,308002.85,2,172,6
Curitiba,PR,8,2006,2006m08,49921,34.13,31102,0.443,330507.96,7,183,3
Belo Horizonte,MG,9,2006,2006m09,49975,39.77,36882,0.263,183961.48,2,241,4
Curitiba,PR,10,2006,2006m10,49839,60.63,98888,0.297,349840.47,2,47,6
São Paulo,SP,11,2006,2006m11,49725,28.47,80097,0.218,539627.55,5,132,3
Belo Horizonte,MG,12,2006,2006m12,49855,41.71,43482,0.648,479933.37,3,187,3
Curitiba,PR,1,2007,2007m01,49674,63.36,37975,0.471,172733.07,5,194,10
Porto Alegre,RS,2,2007,2007m02,50330,60.27,81664,0.775,388550.47,4,247,2
Fortaleza,CE,3,2007,2007m03,50161,37.97,28544,0.704,715630.5,2,177,6
Brasília,DF,4,2007,2007m04,49961,36.5,18707,0.552,484277.86,6,69,3
Manaus,AM,5,2007,2007m05,50054,73.63,61472,0.971,363111.67,2,51,7
Rio de Janeiro,RJ,6,2007,2007m06,50387,55.62,25380,0.392,220918.37,4,154,7
Belo Horizonte,MG,7,2007,2007m07,50114,37.81,51927,0.875,433163.27,1,273,4
Rio de Janeiro,RJ,8,2007,2007m08,50067,49.38,11150,0.477,799590.12,2,226,3
Porto Alegre,RS,9,2007,2007m09,50310,66.3,62164,0.222,470198.98,3,272,5
Rio de Janeiro,RJ,10,2007,2007m10,49993,36.59,30319,0.637,540773.17,2,250,4
Fortaleza,CE,11,2007,2007m11,50272,36.28,13920,0.494,771403.21,4,164,5
Rio de Janeiro,RJ,12,2007,2007m12,49551,53.31,95427,0.339,228118.35,4,143,3
Porto Alegre,RS,1,2008,2008m01,50297,29.72,64791,0.848,896488.79,1,86,4
Rio de Janeiro,RJ,2,2008,2008m02,49974,39.9,66357,0.067,889351.67,0,265,3
Salvador,BA,3,2008,2008m03,49800,43.47,78642,0.323,469504.4,4,43,5
São Paulo,SP,4,2008,2008m04,50104,10.15,31820,0.731,743535.18,3,167,2
Manaus,AM,5,2008,2008m05,50449,51.25,54392,0.18,543651.47,4,125,7
Curitiba,PR,6,2008,2008m06,49992,59.19,94524,0.496,177019.94,4,283,4
Brasília,DF,7,2008,2008m07,49997,79.25,75299,0.362,212093.61,2,114,2
Brasília,DF,8,2008,2008m08,50321,58.95,97850,0.329,142372.56,3,276,6
Rio de Janeiro,RJ,9,2008,2008m09,49738,34.61,53612,0.415,135262.94,0,10,7
São Paulo,SP,10,2008,2008m10,50024,43.22,19441,0.54,971215.02,1,139,2
São Paulo,SP,11,2008,2008m11,49869,77.92,46125,0.307,235370.85,3,125,6
Porto Alegre,RS,12,2008,2008m12,50097,56.81,17951,0.403,232395.03,2,245,3
São Paulo,SP,1,2009,2009m01,49609,65.72,48390,0.623,770771.25,4,261,1
Manaus,AM,2,2009,2009m02,50204,41.4,41860,0.331,644138.98,6,167,2
São Paulo,SP,3,2009,2009m03,50320,46.76,51809,0.869,874549.97,4,64,7
Rio de Janeiro,RJ,4,2009,2009m04,50511,48.97,95752,0.803,760776.47,1,20,3
Curitiba,PR,5,2009,2009m05,50043,63.81,22918,0.142,726646.99,1,265,1
Recife,PE,6,2009,2009m06,50093,43.57,58491,0.848,665817.81,2,231,8
São Paulo,SP,7,2009,2009m07,50070,59.04,44570,0.181,237298.1,0,76,5
Fortaleza,CE,8,2009,2009m08,50000,49.99,28541,0.116,749205.67,2,277,3
Manaus,AM,9,2009,2009m09,50020,31.8,55234,0.977,664460.73,2,172,4
Recife,PE,10,2009,2009m10,49869,49.96,62917,0.55,606287.92,4,295,2
Porto Alegre,RS,11,2009,2009m11,50066,66.56,81063,0.869,772657.61,0,296,7
Brasília,DF,12,2009,2009m12,49808,50.09,81573,0.247,212660.25,1,146,3
Brasília,DF,1,2010,2010m01,50347,45.07,90989,0.945,767988.05,1,203,2
Salvador,BA,2,2010,2010m02,49764,71.36,23682,0.9,886937.12,2,11,3
Manaus,AM,3,2010,2010m03,49857,55.85,93924,0.538,263016.99,2,61,3
Fortaleza,CE,4,2010,2010m04,49926,29.28,82607,0.842,729592.77,5,54,2
Salvador,BA,5,2010,2010m05,50187,45.67,82866,0.384,902530.82,1,71,4
Salvador,BA,6,2010,2010m06,49849,54.02,41070,0.602,212394.64,4,175,7
Salvador,BA,7,2010,2010m07,50099,53.53,27522,0.665,744618.38,3,103,6
Salvador,BA,8,2010,2010m08,50051,57.66,82826,0.847,685511.58,4,35,3
Curitiba,PR,9,2010,2010m09,50224,47.58,69189,0.652,298327.56,3,133,4
Salvador,BA,10,2010,2010m10,50624,46.82,36811,0.979,364673.35,0,267,6
Fortaleza,CE,11,2010,2010m11,49895,50.21,50865,0.012,974721.25,2,281,6
Fortaleza,CE,12,2010,2010m12,50039,61.92,67809,0.835,442411.7,2,178,7
Manaus,AM,1,2011,2011m01,50284,39.73,29831,0.299,967087.23,1,224,5
São Paulo,SP,2,2011,2011m02,50227,48.92,85376,0.112,382022.69,2,289,7
Salvador,BA,3,2011,2011m03,49813,53.72,93621,0.215,179835.17,1,47,8
Salvador,BA,4,2011,2011m04,50116,41.93,73036,0.796,828596.61,11,281,5
Rio de Janeiro,RJ,5,2011,2011m05,50118,56.94,81636,0.399,888382.24,12,89,6
São Paulo,SP,6,2011,2011m06,50208,55.23,67283,0.664,292693.19,3,124,7
Brasília,DF,7,2011,2011m07,50109,18.97,36839,0.658,485168.25,2,217,6
Fortaleza,CE,8,2011,2011m08,50459,50.51,26065,0.347,399863.11,2,237,4
Belo Horizonte,MG,9,2011,2011m09,50209,71.26,93684,0.531,914784.09,5,266,8
São Paulo,SP,10,2011,2011m10,50114,72.45,20132,0.508,359581.43,2,299,7
Manaus,AM,11,2011,2011m11,50289,60.24,44239,0.434,720680.42,2,142,5
Rio de Janeiro,RJ,12,2011,2011m12,49952,69.05,69645,0.247,691490.91,1,139,5
Recife,PE,1,2012,2012m01,50522,47.71,44779,0.461,385893.9,2,118,5
Porto Alegre,RS,2,2012,2012m02,49950,58.54,94721,0.074,446858.97,0,106,6
Curitiba,PR,3,2012,2012m03,49828,52.46,14164,0.71,418863.1,2,294,7
Salvador,BA,4,2012,2012m04,49910,60.03,12813,0.492,406435.44,4,61,5
Brasília,DF,5,2012,2012m05,50108,77.67,12240,0.798,426952.41,4,99,5
Manaus,AM,6,2012,2012m06,49772,65.03,25838,0.22,367843.19,2,125,2
Brasília,DF,7,2012,2012m07,49967,44.86,30741,0.4,739395.1,3,78,3
Recife,PE,8,2012,2012m08,49987,73.71,83429,0.919,519384.6,4,167,5
Fortaleza,CE,9,2012,2012m09,49901,53.72,63036,0.524,203562.31,4,98,7
Curitiba,PR,10,2012,2012m10,49809,,96566,0.913,881904.55,4,114,4
São Paulo,SP,11,2012,2012m11,49973,46.46,50544,0.397,557078.54,5,216,5
Salvador,BA,12,2012,2012m12,49848,61.06,20121,0.929,304810.19,2,165,12
São Paulo,SP,1,2013,2013m01,50169,55.98,41735,0.493,947625.32,2,87,6
Salvador,BA,2,2013,2013m02,50103,66.98,91893,0.196,187364.94,4,283,7
São Paulo,SP,3,2013,2013m03,50100,42.46,61265,0.51,332947.77,3,19,4
Salvador,BA,4,2013,2013m04,49767,64.26,11414,0.668,408820.72,5,138,7
Brasília,DF,5,2013,2013m05,50460,13.42,75226,0.704,483028.91,1,281,4
Curitiba,PR,6,2013,2013m06,50071,,53603,0.514,751611.99,4,153,2
Manaus,AM,7,2013,2013m07,49891,29.82,99167,0.504,931020.75,2,190,6
Brasília,DF,8,2013,2013m08,50375,55.06,74428,0.237,481280.08,2,211,9
Fortaleza,CE,9,2013,2013m09,50290,64.42,75866,0.077,325094.5,5,241,3
Manaus,AM,10,2013,2013m10,49972,49.86,15636,0.057,484875.34,1,40,3
